 Lista de Imóveis da Caixa;;Data de geração:;06/03/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444410924416 ;SC ;ABELARDO LUZ ;CENTRO ; RUA PREFEITO MAURICIO RODRIGUES DA COSTA, N. 521, LT 21, QD 03 ;320.000,00;320.000,00;0.00;Não;Casa, 88.18 de área total, 88.18 de área privativa, 384.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410924416
 10203835 ;SC ;AGROLANDIA ;CENTRO ;RUA RICARDO HOBUS, N. 00, LT 01-E ;196.460,32;330.000,00;40.47;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 2018.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10203835
 10203836 ;SC ;AGROLANDIA ;CENTRO ;RUA RICARDO HOBUS, N. 00, LT 01-D ;267.900,44;450.000,00;40.47;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 2000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10203836
 8444416200800 ;SC ;ARAQUARI ;ITINGA ; SAO BENTO DO SUL, N. 668, CS 004 ;124.569,62;229.000,00;45.61;Não;Casa, 45.51 de área total, 44.46 de área privativa, 81.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416200800
 8444420114506 ;SC ;ARAQUARI ;ITINGA ; R OSWALDO BARBOSA FERREIRA, N. 54, Apto 101-, BL A ;115.467,48;205.000,00;43.68;Não;Apartamento, 0.00 de área total, 49.46 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420114506
 8787711188177 ;SC ;ARAQUARI ;Porto Grande ; RUA JOSE JULHO MOREIRA, N. 3900, CS 02 ;183.691,35;300.000,00;38.77;Sim;Casa, 50.88 de área total, 50.01 de área privativa, 69.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711188177
 8444408681137 ;SC ;ARARANGUA ;MORRO DOS CONVENTOS ;R JOSE JOAO DE MEDEIROS, N. 120, ;114.000,00;190.000,00;40.00;Não;Casa, 69.35 de área total, 58.02 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408681137
 1444422980032 ;SC ;ARARANGUA ;URUSSANGUINHA ;RUA ALBINO PEREIRA DE SOUZA, N. 107, ;367.093,04;576.000,00;36.27;Sim;Casa, 123.71 de área total, 123.71 de área privativa, 432.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422980032
 8444425538479 ;SC ;ARARANGUA ;CAVERAZINHO ; RUA F, N. 158, QD D LT 30 ;230.000,00;230.000,00;0.00;Não;Casa, 40.43 de área total, 40.43 de área privativa, 313.69 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425538479
 1444420664702 ;SC ;AURORA ;CENTRO ; SEIS DE JUNHO, N. S/N, CS, ÁREA 02 ;429.812,29;350.000,00;0.00;Não;Casa, 120.00 de área total, 90.00 de área privativa, 8100.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420664702
 1444400624799 ;SC ;BALNEARIO CAMBORIU ;CENTRO ;AVENIDA ATLANTICA, N. 4104, Apto 504, ;1.550.000,00;1.442.000,00;0.00;Não;Apartamento, 103.53 de área total, 103.53 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400624799
 10282055 ;SC ;BALNEARIO CAMBORIU ;CENTRO ;RUA 1451, N. 158, Apto 901 ;2.753.930,28;2.047.000,00;0.00;Sim;Apartamento, 0.00 de área total, 107.64 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10282055
 1444402342529 ;SC ;BALNEARIO RINCAO ;CENTRO ;RUA OLANDIA FELISBINA ROCHA (ANTIGA RUA L), N. SN, QD 98 LT 15 ;155.000,00;155.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 288.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402342529
 8444404162933 ;SC ;BALNEARIO RINCAO ;PRAIA DO RINCAO ;AVENIDA OLINDINA FELISBINA ROCHA, N. SN, QD 91, LT 23 ;143.219,88;125.000,00;0.00;Não;Casa, 0.00 de área total, 86.13 de área privativa, 288.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404162933
 8555530365386 ;SC ;BARRA VELHA ;SÃO CRISTÓVÃO ; RUA FRANCISCO DE PAULA ANTUNES CORREA, N. 30, Apto 304, BL 02 ;260.000,00;256.000,00;0.00;Não;Apartamento, 59.24 de área total, 49.35 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530365386
 8787708262566 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1445, Apto 404, 4ºPAV VL 9 VG 75 ;131.762,14;218.000,00;39.56;Sim;Apartamento, 47.79 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708262566
 8787708808038 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1445, Apto 202, BL 01 SUBCOND BRUNNEN VG 06 ;133.575,38;221.000,00;39.56;Não;Apartamento, 58.83 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708808038
 8787710247196 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1445, Apto 404, BL 3  4ºPAV VG277 ;120.882,70;200.000,00;39.56;Não;Apartamento, 47.79 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710247196
 8787709148635 ;SC ;BLUMENAU ;PROGRESSO ;RUA JOAO DEOLA, N. 150, Apto 201, BL 15, VAGA 199 ;150.014,60;245.000,00;38.77;Não;Apartamento, 54.10 de área total, 43.14 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709148635
 1444421543097 ;SC ;BLUMENAU ;ITOUPAVAZINHA ;RUA ERWIN STEIN, N. 161, CASA 04 ;248.552,58;390.000,00;36.27;Não;Casa, 75.20 de área total, 74.07 de área privativa, 124.51 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421543097
 1444418394949 ;SC ;BLUMENAU ;BADENFURT ;RUA CARL MULLER, N. 259, CS03 ;345.000,00;345.000,00;0.00;Não;Casa, 0.00 de área total, 71.13 de área privativa, 105.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418394949
 8787707700110 ;SC ;BLUMENAU ;PROGRESSO ;RUA JOAO DEOLA, N. 150, Apto 302, BL 11, 3º PAV, VAGA GARAGEM Nº 146 ;155.000,00;155.000,00;0.00;Não;Apartamento, 75.59 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707700110
 1555521709886 ;SC ;BLUMENAU ;ESCOLA AGRICOLA ;RUA JOSE DEEKE, N. 691, ;850.000,00;850.000,00;0.00;Não;Casa, 223.08 de área total, 223.08 de área privativa, 409.31 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), 2 lavabo(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555521709886
 8787712596767 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1449, Apto 304, BL 25 RES BENDORF ;205.000,00;200.000,00;0.00;Não;Apartamento, 59.38 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712596767
 1444412209945 ;SC ;BLUMENAU ;FORTALEZA ALTA ;RUA MONTE MERU, N. 30, CS 03 ;400.000,00;310.000,00;0.00;Não;Casa, 70.48 de área total, 66.70 de área privativa, 92.36 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444412209945
 1444403120732 ;SC ;BLUMENAU ;VELHA ;RUA PEREIRA DE OLIVEIRA, N. 100, Apto 501, ;557.070,12;383.000,00;0.00;Não;Apartamento, 0.00 de área total, 73.64 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403120732
 10219365 ;SC ;BRACO DO NORTE ;PINHEIRAL ;TERRENO RURAL PINHEIRAL, N. 00, IMÓVEL RURAL ;514.312,64;807.000,00;36.27;Não;Imóvel rural, 0.00 de área total, 0.00 de área privativa, 61551.50 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10219365
 8444426876491 ;SC ;BRUSQUE ;SAO PEDRO ;RUA FLORIANO FISCHER, N. 344, Apto 102, ;255.000,00;228.000,00;0.00;Não;Apartamento, 55.73 de área total, 50.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426876491
 1444402788306 ;SC ;BRUSQUE ;BATEAS ;RUA JOSE JACOB BRICK, N. 210, LOTE 04 DA QUADRA 08 ;1.050.000,00;800.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 450.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402788306
 1555532472637 ;SC ;CACADOR ;BERGER ;R HENRIQUETA TEDESCO, N. 77, Apto 104, ;302.400,00;504.000,00;40.00;Não;Apartamento, 0.00 de área total, 71.82 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555532472637
 1555511556106 ;SC ;CAMBORIU ;LIDIA DUARTE ;RUA DO EMPREENDEDOR, N. 555, CS 03 ;293.164,58;460.000,00;36.27;Sim;Casa, 127.08 de área total, 69.60 de área privativa, 127.08 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555511556106
